#================================================================#
# SMARTS2 -- Algorithms and performance assessment               #
#================================================================#
#
# APPENDIX: Extraterrestrial spectrum and absorption coefficients
#           at their reference temperature
#
# λ      E0nλ       Awλ        Aoλ      Anλ  
643    1.6142   5.36E-05   7.42E-02    0.329
644    1.5963   5.63E-05   7.29E-02    0.328
645    1.6200   1.33E-04   7.16E-02    0.327
646    1.6159   7.13E-04   7.03E-02    0.326
647    1.5812   1.95E-03   6.91E-02    0.325
648    1.5619   3.21E-03   6.79E-02    0.324
649    1.5600   2.64E-03   6.69E-02    0.323
650    1.5189   9.60E-04   6.57E-02    0.322
651    1.5944   5.85E-04   6.47E-02    0.317
652    1.595    3.52E-03   6.36E-02    0.312
653    1.6077   6.57E-04   6.25E-02    0.307
654    1.5962   5.71E-04   6.14E-02    0.302
655    1.4982   1.48E-03   6.03E-02    0.297
656    1.3960   9.80E-04   5.92E-02    0.292
657    1.4362   9.52E-04   5.81E-02    0.287
658    1.5382   4.90E-04   5.70E-02    0.282
659    1.5509   2.81E-04   5.60E-02    0.277
660    1.5576   2.16E-04   5.50E-02    0.272
661    1.5702   5.96E-05   5.40E-02    0.267
662    1.5664   1.35E-05   5.31E-02    0.262
663    1.5700   2.45E-05   5.21E-02    0.257
664    1.5661   1.33E-05   5.11E-02    0.252
665    1.5728   8.72E-06   5.00E-02    0.247
666    1.5674   4.91E-06   4.89E-02    0.242
667    1.5591   3.81E-06   4.77E-02    0.237
668    1.5642   0.00E+00   4.66E-02    0.232
669    1.5589   2.16E-07   4.55E-02    0.227
670    1.5610   0.00E+00   4.45E-02    0.222
671    1.5394   0.00E+00   4.34E-02    0.217
672    1.5061   0.00E+00   4.24E-02    0.212
673    1.5157   0.00E+00   4.13E-02    0.207
674    1.5150   0.00E+00   4.04E-02    0.202
675    1.5150   0.00E+00   3.96E-02    0.201
676    1.5140   0.00E+00   3.87E-02    0.198
677    1.5110   0.00E+00   3.78E-02    0.195
678    1.5070   0.00E+00   3.70E-02    0.192
679    1.5040   0.00E+00   3.62E-02    0.189
680    1.5010   1.97E-07   3.56E-02    0.186
681    1.4980   1.81E-06   3.50E-02    0.183
682    1.4940   4.42E-06   3.44E-02    0.180
683    1.4910   5.44E-06   3.39E-02    0.177
684    1.4880   1.33E-05   3.34E-02    0.174
685    1.4850   7.70E-06   3.28E-02    0.171
686    1.4783   1.32E-05   3.21E-02    0.168
687    1.4414   3.55E-05   3.14E-02    0.165
688    1.4220   7.56E-06   3.05E-02    0.162
689    1.4430   1.45E-05   2.97E-02    0.159
690    1.4740   3.07E-05   2.88E-02    0.156
691    1.4719   1.20E-04   2.80E-02    0.153
692    1.4612   7.34E-04   2.72E-02    0.150
693    1.4610   3.79E-03   2.65E-02    0.147
694    1.4600   7.05E-03   2.58E-02    0.144
695    1.4590   4.75E-03   2.50E-02    0.141
696    1.4500   5.54E-03   2.43E-02    0.138
697    1.4410   8.79E-04   2.36E-02    0.135
698    1.4320   9.06E-04   2.30E-02    0.132
699    1.4230   3.60E-03   2.24E-02    0.129
700    1.4140   3.87E-03   2.18E-02    0.126
701    1.4300   4.32E-03   2.13E-02    0.000
702    1.4375   3.21E-03   2.09E-02    0.000
703    1.4369   3.91E-03   2.05E-02    0.000
704    1.4348   2.00E-03   2.01E-02    0.000
705    1.4258   2.16E-03   1.97E-02    0.000
706    1.4139   1.77E-03   1.94E-02    0.000
707    1.4035   1.41E-03   1.91E-02    0.000
708    1.3987   1.42E-03   1.89E-02    0.000
709    1.4051   6.94E-04   1.86E-02    0.000
710    1.4129   1.02E-03   1.84E-02    0.000
711    1.4109   7.85E-04   1.82E-02    0.000
712    1.4034   4.94E-04   1.80E-02    0.000
713    1.3944   8.01E-04   1.79E-02    0.000
714    1.3855   7.57E-04   1.78E-02    0.000
715    1.3780   1.80E-03   1.77E-02    0.000
716    1.3706   2.20E-03   1.75E-02    0.000
717    1.3645   2.03E-02   1.71E-02    0.000
718    1.3571   3.55E-02   1.67E-02    0.000
719    1.3455   6.52E-02   1.61E-02    0.000
720    1.3395   4.68E-02   1.56E-02    0.000
721    1.3473   2.29E-02   1.50E-02    0.000
722    1.3592   3.76E-03   1.45E-02    0.000
723    1.3655   1.23E-02   1.41E-02    0.000
724    1.3678   3.78E-02   1.37E-02    0.000
725    1.3645   3.03E-02   1.33E-02    0.000 
726    1.3558   2.19E-02   1.30E-02    0.000
727    1.3444   2.29E-02   1.27E-02    0.000
728    1.3357   2.99E-02   1.23E-02    0.000
729    1.3325   2.02E-02   1.19E-02    0.000
730    1.3320   1.39E-02   1.16E-02    0.000
731    1.3302   1.84E-02   1.14E-02    0.000
732    1.3270   1.00E-02   1.12E-02    0.000
733    1.3252   3.66E-03   1.10E-02    0.000
734    1.3248   3.22E-03   1.09E-02    0.000
735    1.3270   2.86E-03   1.08E-02    0.000
736    1.3252   3.81E-03   1.08E-02    0.000
737    1.3140   2.94E-03   1.07E-02    0.000
738    1.3001   1.46E-03   1.06E-02    0.000
739    1.2903   1.52E-03   1.07E-02    0.000
740    1.2832   8.61E-04   1.07E-02    0.000
741    1.2761   4.72E-04   1.08E-02    0.000
742    1.2717   2.11E-04   1.09E-02    0.000
743    1.2713   1.55E-04   1.11E-02    0.000
744    1.2723   5.79E-05   1.12E-02    0.000
745    1.2732   1.21E-05   1.14E-02    0.000
746    1.2755   1.08E-05   1.15E-02    0.000
747    1.2778   4.62E-06   1.15E-02    0.000
748    1.2787   2.34E-06   1.13E-02    0.000
749    1.2783   1.19E-06   1.11E-02    0.000
750    1.2740   7.33E-07   1.06E-02    0.000
751    1.2683   1.18E-06   1.01E-02    0.000
752    1.2653   3.69E-07   9.54E-03    0.000
